id,question,answer
18,什么是长期应收款？,长期应收款是一种非流动资产，是公司在经营活动中，预计要超过一年或一个经营周期才能收回的应收款项。这种类型的应收账款通常由于具有特别的购销条件或其他特殊情况而不能在一年内或一个经营周期内收回。这可能包括长期的贷款或者长期的安排合同所产生的应收款项。对于企业来说，长期应收款属于投资活动产生的现金流。
30,什么是长期股权投资？,长期股权投资是指持有期限超过一年（含一年）的对其它企业的股权投资。这一概念是从投资期限角度明确的投资类别，它包括对子公司、对联营企事业和对其他企事业的长期投资。长期股权投资在企业财务报表中通常单独列示，这类投资的期望收益主要包括可能获得的投资收益和对被投资企业的控制权。长期股权投资的评估和计量方法通常包括成本法和权益法。
10,其他重要的会计政策和会计估计是什么？,"其他重要的会计政策和会计估计包括以下几个部分：

1. 减值测试：企业需要规定其固定资产、无形资产等长期资产的减值测试政策，并对其进行各种风险因素的估计。

2. 收入确认政策：企业需要准确估计收入项目完成的时点和金额，这也是会计政策的重要部分。

3. 存货估价：企业会对存货进行定期评估，并采取相应的会计政策，例如采用先进先出(FIFO)或加权平均法来计算存货的成本。

4. 坏账准备：企业需要提前进行坏账的估计，设置相关的会计政策，以应对未来可能发生的坏账损失。

5. 员工福利和退休金计划的估算：企业需要对员工的退休金计划和其他福利进行估算，来确保其足够的资金来满足这些责任。

6. 递延税务：企业需要对其未来的税收义务进行准确的估计，以此设定合理的递延税务政策，确保企业满足税务规定。

以上都是比较常见的一些会计政策和会计估计，不同的企业在确定这些政策和估计时会根据其特殊的业务环境和业务需要来设定。"
23,研发费用对公司财务状况和经营绩效有什么影响？,"研发费用，即研究和开发费用，是企业为了开发新产品、新服务或新工艺而投入的费用。研发费用对公司财务状况和经营绩效具有如下影响：

1. 对公司财务状况的影响：在财务报表上，研发费用属于经营费用，会直接影响公司的利润水平。若研发费用较高，可能造成公司当期利润减少，财务状况看似不佳；但长期来看，有效的研发投入可以带动公司的持续发展和创新能力，从而增强未来的获利能力，提高企业的盈利潜力和价值。

2. 对经营绩效的影响：研发费用的多少直接反映了公司对未来发展的投入和信心。高额的研发费用表明公司正在积极研发新产品或进行技术升级，这可能提高公司的市场竞争力，推动公司的长期经营绩效。然而，如果研发投入没有产生预期的回报，例如新产品失败或者开发过程中存在延误，可能会对公司的经营绩效产生负面影响。

因此，投资者在查阅财务报告时，不仅要关注公司的研发费用占比，还要关注研发投入的效率和产出，以此来判断公司的发展潜力和竞争力。"
1,递延所得税资产/递延所得税负债是什么？,"递延所得税资产和递延所得税负债是会计的一部分，都和公司的税收有关。

递延所得税资产是公司因为过去的交易或者事件，未来的税收金额预计会比会计利润产生的税收少，这样可能会有的税收减少所产生的经济利益。这主要涉及到未来可转化的临时性差异、已经确认的未用税损、已经支付的可退税款等。

递延所得税负债则是指因为过去的交易或者事件，导致实际的税收金额会大于会计利润产生的税收，带来了可能的税收负担，这部分税收增加的现金出流就形成了递延所得税负债。

在准备财务报表时，会计师会根据公司未来预计的利润或损失，以及税率等因素，估算递延所得税资产和递延所得税负债。这两个数据都包含在资产负债表中，这样可以更好地反映公司的真实财务状况。同时，税法和会计准则在一些项目的处理上有所不同，递延所得税项目可体现出这种差异，供投资者参考。"
34,在建工程是指什么？,在建工程是指企业在报告期内已经付出投资但尚未完成并投入运营的固定资产、无形资产和其他长期资产的建设项目。这可以包括一切从购地、设计、采购，到施工安装等中间的所有过程。在建工程投资于建设期间发生的与该建设项目有关的支出，一般都会先记录在在建工程账户里，直到项目投入使用后再转入对应的固定资产、无形资产等长期资产账户。
37,什么是现金比率？,"现金比率（Cash Ratio）是衡量公司流动性的一项财务指标，主要用于判断公司是否能够使用其手头的现金和现金等价物，来清偿其短期债务。它的计算公式是：（现金 + 现金等价物）/ 流动负债。

相比于流动比率和速动比率，现金比率是一个更严格的财务指标，因为它只考虑了公司最容易变现的资产——现金和现金等价物。如果一家公司的现金比率足够高，那么即使在最糟糕的经济环境下，如经济衰退或者信贷紧缩下，公司也能有足够的资金清偿短期债务。"
41,什么是财务指标？,财务指标是一种衡量一个企业的经济活动和财务状况的定量标准。这些指标是通过对企业的财务报表，如资产负债表、利润表、现金流量表等提供的财务数据进行分析和解读得出的。主要的财务指标有：营业收入、营业利润、净利润、每股收益，资产负债比率，流动比率，现金流量比率，毛利率、营业利润率、净利润率、股东权益回报率等。这些指标可以帮助投资者、管理者、债权人等利益相关者了解和评价企业的盈利能力、偿债能力、经营效率、资金运作能力以及财务状况的稳健性等方面的信息。
59,什么是其他债权投资？,其他债权投资是指除了普通的债权投资（如公司债券、政府债券）以外的其他类型的债权投资。这些可以包括但不限于抵押贷款证券、资产支持证券、高收益债务、短期债券、优先股票等。这类债权投资通常与普通的债权投资的风险和回报特性有所不同，可能需要投资者具有更高级别的理解和管理能力。这也是为什么它们通常被分类为其他债权投资。
56,什么是资本回报率？,"资本回报率，也叫做资本利润率或ROC（Rate of Return on Capital），是一个用于量化投资盈利或损失的财务指标。它衡量一家公司使用其资本获取利润的能力，也可以看做是每一单位资金带来的收益。

资本回报率的计算公式一般是：税后经营利润（NOPAT）除以经营资本。其中，经营利润是净利润加上利息和税收；经营资本包括股东的权益和债券所得的资金。

ROC的数值高，表示公司的盈利能力强，对于投资者来说，这可能表示公司的投资收益率较高。反之，如果ROC的数值低，那么可能说明公司使用资本的效率不高，盈利能力较弱。

总的来说，ROC是衡量公司投资效率和盈利能力的一个重要指标，它可以帮助投资者评估公司管理层对资本的使用效率，以决定是否进行投资。"
